cell,leiden_final
1361,Stem + TA
1362,Stem + TA
1363,Stromal
1364,Telocyte
1365,Macrophage + DC
1366,Smooth Muscle
1367,Stem + TA
1368,Stem + TA
1369,B (Plasma)
1370,Stromal
1371,Enterocyte (Mid Villus)
1372,Stem + TA
1373,B (Plasma)
1374,Smooth Muscle
1375,Paneth
1376,Stem + TA
1377,Smooth Muscle
1378,Stem + TA
1379,Stromal
1380,Enterocyte (Mid Villus)
1381,Macrophage + DC
1382,B (Plasma)
1383,Paneth
1384,Enterocyte (Mid Villus)
1385,B (Plasma)
1386,Stromal
1387,Smooth Muscle
1388,Removed
1389,Paneth
1390,B (Plasma)
1391,Smooth Muscle
1392,Removed
1393,T (CD8+)
1394,Stem + TA
1395,Stem + TA
1396,T (CD4+)
1397,Stromal
1398,B (Plasma)
1399,Stem + TA
1400,Smooth Muscle
1401,Pericyte
1402,Stromal
1403,Enterocyte (Mid Villus)
1404,Paneth
1405,Endothelial
1406,B (Plasma)
1407,B (Plasma)
1408,B (Plasma)
1409,Macrophage + DC
1410,Enterocyte (Mid Villus)
1411,Paneth
1412,Macrophage + DC
1413,Removed
1414,Paneth
1415,Macrophage + DC
1416,B (Plasma)
1417,B (Plasma)
1418,Stem + TA
1419,Stem + TA
1420,Stem + TA
1421,Stem + TA
1422,Stem + TA
1423,Stromal
1424,B (Plasma)
1425,Smooth Muscle
1426,Removed
1427,Removed
1428,Enterocyte (Mid Villus)
1429,Macrophage + DC
1430,Paneth
1431,Telocyte
1432,B (Plasma)
1433,Smooth Muscle
1434,B (Plasma)
1435,Stromal
1436,Stem + TA
1437,Goblet
1438,Stem + TA
1439,Stem + TA
1440,Paneth
1441,Removed
1442,Enterocyte (Mid Villus)
1443,Enterocyte (Top Villus)
1444,Enterocyte (Mid Villus)
1445,B (Plasma)
1446,Goblet
1447,Smooth Muscle
1448,Stem + TA
1449,B (Plasma)
1450,B (Plasma)
1451,Removed
1452,B (Plasma)
1453,T (CD4+)
1454,Stem + TA
1455,Macrophage + DC
1456,Paneth
1457,Stromal
1458,Macrophage + DC
1459,Smooth Muscle
1460,Enterocyte (Bottom Villus)
1461,Stem + TA
1462,Removed
1463,Stromal
1464,B (Plasma)
1465,Stem + TA
1466,Macrophage + DC
1467,Paneth
1468,Enterocyte (Mid Villus)
1469,Stromal
1470,Stromal
1471,Enterocyte (Mid Villus)
1472,Paneth
1473,Removed
1474,Goblet
1475,Stem + TA
1476,Goblet
1477,Paneth
1478,B (Plasma)
1479,Paneth
1480,B (Plasma)
1481,Smooth Muscle
1482,B (Plasma)
1483,B (Plasma)
1484,"B (Follicular, Circulating)"
1485,T (CD4+)
1486,Smooth Muscle
1487,Enterocyte (Bottom Villus)
1488,B (Plasma)
1489,Smooth Muscle
1490,B (Plasma)
1491,Telocyte
1492,Smooth Muscle
1493,B (Plasma)
1494,Stromal
1495,Paneth
1496,Smooth Muscle
1497,Stem + TA
1498,Removed
1499,Enterocyte (Mid Villus)
1500,Stem + TA
1501,Enterocyte (Mid Villus)
1502,Removed
1503,Macrophage + DC
1504,Smooth Muscle
1505,Enterocyte (Mid Villus)
1506,T (CD8+)
1507,Stromal
1508,Enterocyte (Mid Villus)
1509,Smooth Muscle
1510,Paneth
1511,Paneth
1512,B (Plasma)
1513,T (CD8+)
1514,Enterocyte (Mid Villus)
1515,Stem + TA
1516,Smooth Muscle
1517,B (Plasma)
1518,Stem + TA
1519,Enterocyte (Mid Villus)
1520,Enterocyte (Mid Villus)
1521,Paneth
1522,Stem + TA
1523,T (CD8+)
1524,Smooth Muscle
1525,Goblet
1526,Stem + TA
1527,Enterocyte (Bottom Villus)
1528,Paneth
1529,Enterocyte (Mid Villus)
1530,Macrophage + DC
1531,Paneth
1532,Stem + TA
1533,Stem + TA
1534,Removed
1535,B (Plasma)
1536,B (Plasma)
1537,Removed
1538,Smooth Muscle
1539,T (CD8+)
1540,Smooth Muscle
1541,B (Plasma)
1542,Stromal
1543,Stem + TA
1544,B (Plasma)
1545,Removed
1546,Stem + TA
1547,Stem + TA
1548,Macrophage + DC
1549,Removed
1550,Stem + TA
1551,Endothelial
1552,Paneth
1553,B (Plasma)
1554,Stromal
1555,Stromal
1556,Smooth Muscle
1557,Smooth Muscle
1558,Paneth
1559,T (CD8+)
1560,Removed
1561,"B (Follicular, Circulating)"
1562,Paneth
1563,Stromal
1564,Stem + TA
1565,Macrophage + DC
1566,Paneth
1567,Removed
1568,Enterocyte (Mid Villus)
1569,Enterocyte (Bottom Villus)
1570,Enterocyte (Mid Villus)
1571,Enterocyte (Mid Villus)
1572,T (CD4+)
1573,Stromal
1574,Smooth Muscle
1575,Paneth
1576,B (Plasma)
1577,Smooth Muscle
1578,Macrophage + DC
1579,Stromal
1580,B (Plasma)
1581,B (Plasma)
1582,Enterocyte (Mid Villus)
1583,Smooth Muscle
1584,Telocyte
1585,B (Plasma)
1586,Stem + TA
1587,Stem + TA
1588,Goblet
1589,Stromal
1590,B (Plasma)
1591,Removed
1592,Removed
1593,Macrophage + DC
1594,Paneth
1595,Macrophage + DC
1596,Stem + TA
1597,B (Plasma)
1598,B (Plasma)
1599,B (Plasma)
1600,Stem + TA
1601,Stem + TA
1602,Removed
1603,B (Plasma)
1604,Goblet
1605,Paneth
1606,Stem + TA
1607,B (Plasma)
1608,Smooth Muscle
1609,Smooth Muscle
1610,Smooth Muscle
1611,Smooth Muscle
1612,Stem + TA
1613,Stem + TA
1614,Paneth
1615,T (CD4+)
1616,Removed
1617,Enterocyte (Top Villus)
1618,Enterocyte (Bottom Villus)
1619,Smooth Muscle
1620,Stromal
1621,Stromal
1622,Goblet
1623,Stem + TA
1624,Goblet
1625,Macrophage + DC
1626,Enterocyte (Mid Villus)
1627,Stem + TA
1628,Enterocyte (Mid Villus)
1629,Pericyte
1630,Stem + TA
1631,Paneth
1632,Smooth Muscle
1633,Stromal
1634,Enterocyte (Mid Villus)
1635,Enterocyte (Mid Villus)
1636,Pericyte
1637,Stem + TA
1638,Enterocyte (Mid Villus)
1639,Smooth Muscle
1640,B (Plasma)
1641,Goblet
1642,Stromal
1643,Endothelial
1644,Smooth Muscle
1645,Goblet
1646,Goblet
1647,B (Plasma)
1648,Macrophage + DC
1649,Removed
1650,Endothelial
1651,Telocyte
1652,Paneth
1653,Smooth Muscle
1654,Goblet
1655,T (CD8+)
1656,B (Plasma)
1657,Macrophage + DC
1658,Smooth Muscle
1659,Smooth Muscle
1660,Stem + TA
1661,Enterocyte (Mid Villus)
1662,Goblet
1663,Stem + TA
1664,Stem + TA
1665,Paneth
1666,Enterocyte (Bottom Villus)
1667,Macrophage + DC
1668,Enterocyte (Mid Villus)
1669,T (CD4+)
1670,Removed
1671,Removed
1672,Smooth Muscle
1673,Endothelial
1674,Stem + TA
1675,B (Plasma)
1676,ICC
1677,Enterocyte (Mid Villus)
1678,Enterocyte (Bottom Villus)
1679,Paneth
1680,Stem + TA
1681,Paneth
1682,Smooth Muscle
1683,Enterocyte (Mid Villus)
1684,Smooth Muscle
1685,Smooth Muscle
1686,B (Plasma)
1687,Stem + TA
1688,B (Plasma)
1689,Endothelial
1690,Removed
1691,Enterocyte (Top Villus)
1692,Stem + TA
1693,Macrophage + DC
1694,B (Plasma)
1695,Stem + TA
1696,B (Plasma)
1697,Stem + TA
1698,ICC
1699,Smooth Muscle
1700,Enterocyte (Mid Villus)
1701,Smooth Muscle
1702,B (Plasma)
1703,Macrophage + DC
1704,Stromal
1705,Goblet
1706,Stem + TA
1707,B (Plasma)
1708,Macrophage + DC
1709,Smooth Muscle
1710,B (Plasma)
1711,Enterocyte (Bottom Villus)
1712,Macrophage + DC
1713,Stem + TA
1714,Stem + TA
1715,Enterocyte (Mid Villus)
1716,Enterocyte (Bottom Villus)
1717,Paneth
1718,Paneth
1719,Smooth Muscle
1720,Macrophage + DC
1721,Removed
1722,Pericyte
1723,B (Plasma)
1724,Goblet
1725,Goblet
1726,Smooth Muscle
1727,Paneth
1728,B (Plasma)
1729,Stromal
1730,Macrophage + DC
1731,Enterocyte (Mid Villus)
1732,Macrophage + DC
1733,Removed
1734,Stem + TA
1735,Goblet
1736,Stem + TA
1737,T (CD4+)
1738,ICC
1739,Smooth Muscle
1740,Smooth Muscle
1741,Smooth Muscle
1742,Smooth Muscle
1743,Stem + TA
1744,Paneth
1745,Stem + TA
1746,B (Plasma)
1747,Endothelial
1748,Removed
1749,Macrophage + DC
1750,Macrophage + DC
1751,Goblet
1752,Paneth
1753,Enterocyte (Mid Villus)
1754,Stem + TA
1755,Enterocyte (Mid Villus)
1756,Pericyte
1757,Paneth
1758,Removed
1759,Smooth Muscle
1760,Paneth
1761,Smooth Muscle
1762,Enterocyte (Mid Villus)
1763,Paneth
1764,Enterocyte (Mid Villus)
1765,Enterocyte (Bottom Villus)
1766,Stem + TA
1767,Goblet
1768,Stem + TA
1769,Enterocyte (Bottom Villus)
1770,Macrophage + DC
1771,Enterocyte (Mid Villus)
1772,Paneth
1773,Smooth Muscle
1774,Enterocyte (Mid Villus)
1775,Goblet
1776,Macrophage + DC
1777,Enterocyte (Bottom Villus)
1778,Stromal
1779,Stromal
1780,T (CD8+)
1781,Paneth
1782,Enterocyte (Mid Villus)
1783,Enterocyte (Top Villus)
1784,Stem + TA
1785,Endothelial
1786,Enterocyte (Mid Villus)
1787,ICC
1788,Smooth Muscle
1789,Stem + TA
1790,Enterocyte (Mid Villus)
1791,Goblet
1792,Enterocyte (Bottom Villus)
1793,Endothelial
1794,Endothelial
1795,T (CD8+)
1796,Goblet
1797,Stem + TA
1798,Endothelial
1799,Enterocyte (Bottom Villus)
1800,Telocyte
1801,Enterocyte (Mid Villus)
1802,Stem + TA
1803,Stem + TA
1804,Stromal
1805,Enterocyte (Bottom Villus)
1806,Stem + TA
1807,Smooth Muscle
1808,Paneth
1809,Enterocyte (Mid Villus)
1810,Smooth Muscle
1811,Enterocyte (Mid Villus)
1812,Enterocyte (Top Villus)
1813,Enterocyte (Mid Villus)
1814,ICC
1815,Smooth Muscle
1816,Goblet
1817,Smooth Muscle
1818,Goblet
1819,T (CD8+)
1820,T (CD8+)
1821,Removed
1822,Removed
1823,Smooth Muscle
1824,Paneth
1825,Smooth Muscle
1826,Enterocyte (Mid Villus)
1827,Removed
1828,Smooth Muscle
1829,Goblet
1830,Enterocyte (Mid Villus)
1831,Stem + TA
1832,Enterocyte (Top Villus)
1833,T (CD8+)
1834,Macrophage + DC
1835,Enterocyte (Mid Villus)
1836,B (Plasma)
1837,Stromal
1838,Enterocyte (Mid Villus)
1839,Macrophage + DC
1840,Macrophage + DC
1841,Enterocyte (Mid Villus)
1842,Enterocyte (Mid Villus)
1843,Enterocyte (Mid Villus)
1844,Smooth Muscle
1845,Paneth
1846,Removed
1847,Paneth
1848,Endothelial
1849,T (CD8+)
1850,Goblet
1851,Goblet
1852,Enterocyte (Bottom Villus)
1853,Smooth Muscle
1854,Smooth Muscle
1855,Removed
1856,Goblet
1857,Enterocyte (Mid Villus)
1858,Enterocyte (Bottom Villus)
1859,Goblet
1860,Enterocyte (Bottom Villus)
1861,Goblet
1862,Paneth
1863,Tuft
1864,Enterocyte (Top Villus)
1865,Smooth Muscle
1866,Smooth Muscle
1867,Smooth Muscle
1868,Endothelial
1869,Smooth Muscle
1870,B (Plasma)
1871,Removed
1872,Removed
1873,Stromal
1874,Enterocyte (Mid Villus)
1875,Removed
1876,Enterocyte (Bottom Villus)
1877,Removed
1878,Smooth Muscle
1879,Enterocyte (Mid Villus)
1880,Removed
1881,Enterocyte (Top Villus)
1882,Paneth
1883,Goblet
1884,Enterocyte (Top Villus)
1885,Paneth
1886,T (CD8+)
1887,Paneth
1888,Enterocyte (Bottom Villus)
1889,Removed
1890,Enterocyte (Mid Villus)
1891,Stem + TA
1892,Macrophage + DC
1893,Stem + TA
1894,Goblet
1895,Stem + TA
1896,Smooth Muscle
1897,Smooth Muscle
1898,Stromal
1899,Enterocyte (Bottom Villus)
1900,Removed
1901,Smooth Muscle
1902,B (Plasma)
1903,Goblet
1904,Enterocyte (Mid Villus)
1905,Enterocyte (Bottom Villus)
1906,Paneth
1907,Stromal
1908,Smooth Muscle
1909,Enterocyte (Mid Villus)
1910,Removed
1911,Endothelial
1912,Enterocyte (Mid Villus)
1913,Enterocyte (Bottom Villus)
1914,Enterocyte (Mid Villus)
1915,Enterocyte (Mid Villus)
1916,Goblet
1917,Paneth
1918,Stem + TA
1919,Removed
1920,Enterocyte (Mid Villus)
1921,Smooth Muscle
1922,Stem + TA
1923,Pericyte
1924,Enterocyte (Mid Villus)
1925,Goblet
1926,Macrophage + DC
1927,Enterocyte (Bottom Villus)
1928,Smooth Muscle
1929,Enterocyte (Mid Villus)
1930,Smooth Muscle
1931,Enterocyte (Mid Villus)
1932,Endothelial
1933,Macrophage + DC
1934,Enterocyte (Mid Villus)
1935,Paneth
1936,Removed
1937,Stem + TA
1938,Enterocyte (Mid Villus)
1939,Stem + TA
1940,Enterocyte (Mid Villus)
1941,Stem + TA
1942,Paneth
1943,Enterocyte (Bottom Villus)
1944,Endothelial
1945,Enterocyte (Bottom Villus)
1946,Enterocyte (Mid Villus)
1947,Macrophage + DC
1948,Smooth Muscle
1949,Smooth Muscle
1950,Enterocyte (Mid Villus)
1951,Smooth Muscle
1952,Stem + TA
1953,Stem + TA
1954,Goblet
1955,Paneth
1956,Goblet
1957,Enterocyte (Mid Villus)
1958,Goblet
1959,Enterocyte (Bottom Villus)
1960,Enterocyte (Bottom Villus)
1961,Enterocyte (Mid Villus)
1962,Enterocyte (Mid Villus)
1963,Smooth Muscle
1964,Paneth
1965,Goblet
1966,Paneth
1967,T (CD8+)
1968,Enterocyte (Bottom Villus)
1969,Stromal
1970,Enterocyte (Bottom Villus)
1971,Enterocyte (Bottom Villus)
1972,T (CD8+)
1973,Goblet
1974,B (Plasma)
1975,Paneth
1976,Myenteric Plexus
1977,Paneth
1978,Paneth
1979,Stromal
1980,Stromal
1981,Enterocyte (Bottom Villus)
1982,Paneth
1983,Removed
1984,T (CD4+)
1985,Macrophage + DC
1986,Smooth Muscle
1987,Removed
1988,Removed
1989,Goblet
1990,Smooth Muscle
1991,Stem + TA
1992,Stromal
1993,Goblet
1994,B (Plasma)
1995,Smooth Muscle
1996,B (Plasma)
1997,Paneth
1998,Smooth Muscle
1999,Enterocyte (Bottom Villus)
2000,Stromal
2001,Enterocyte (Bottom Villus)
2002,Goblet
2003,Stem + TA
2004,Myenteric Plexus
2005,Stem + TA
2006,Paneth
2007,Stem + TA
2008,Enterocyte (Mid Villus)
2009,Removed
2010,Paneth
2011,Stem + TA
2012,Enterocyte (Mid Villus)
2013,Removed
2014,Stem + TA
2015,Paneth
2016,T (CD4+)
2017,Enterocyte (Bottom Villus)
2018,Enterocyte (Bottom Villus)
2019,Paneth
2020,Myenteric Plexus
2021,Smooth Muscle
2022,Enterocyte (Mid Villus)
2023,Stromal
2024,Smooth Muscle
2025,B (Plasma)
2026,Enterocyte (Bottom Villus)
2027,Enterocyte (Mid Villus)
2028,Telocyte
2029,Myenteric Plexus
2030,Smooth Muscle
2031,Stromal
2032,Removed
2033,Goblet
2034,Stromal
2035,B (Plasma)
2036,Goblet
2037,Stem + TA
2038,Stromal
2039,B (Plasma)
2040,Stromal
2041,Enterocyte (Mid Villus)
2042,Goblet
2043,Telocyte
2044,Paneth
2045,Telocyte
2046,Smooth Muscle
2047,Smooth Muscle
2048,Stem + TA
2049,Paneth
2050,Enterocyte (Bottom Villus)
2051,Removed
2052,Smooth Muscle
2053,Paneth
2054,Removed
2055,Enterocyte (Mid Villus)
2056,Stem + TA
2057,Paneth
2058,Removed
2059,Enterocyte (Mid Villus)
2060,Enterocyte (Bottom Villus)
2061,Stem + TA
2062,Stem + TA
2063,Macrophage + DC
2064,Enterocyte (Mid Villus)
2065,Enterocyte (Mid Villus)
2066,Stromal
2067,Enterocyte (Mid Villus)
2068,Enterocyte (Mid Villus)
2069,T (CD8+)
2070,Stem + TA
2071,Macrophage + DC
2072,Paneth
2073,Enterocyte (Mid Villus)
2074,Enterocyte (Mid Villus)
2075,Paneth
2076,Enterocyte (Mid Villus)
2077,B (Plasma)
2078,Telocyte
2079,Removed
2080,Stromal
2081,Stem + TA
2082,Enterocyte (Mid Villus)
2083,Macrophage + DC
2084,Paneth
2085,B (Plasma)
2086,Goblet
2087,Macrophage + DC
2088,Stromal
2089,Smooth Muscle
2090,Goblet
2091,Removed
2092,Goblet
2093,Enterocyte (Mid Villus)
2094,Removed
2095,Stromal
2096,Stem + TA
2097,Removed
2098,Goblet
2099,Endothelial
2100,Enterocyte (Bottom Villus)
2101,Stem + TA
2102,Macrophage + DC
2103,Goblet
2104,Smooth Muscle
2105,B (Plasma)
2106,Enterocyte (Mid Villus)
2107,Removed
2108,Paneth
2109,Stromal
2110,Enterocyte (Bottom Villus)
2111,T (CD4+)
2112,Paneth
2113,Endothelial
2114,Endothelial
2115,Stem + TA
2116,Stem + TA
2117,Stem + TA
2118,Paneth
2119,Enterocyte (Bottom Villus)
2120,Smooth Muscle
2121,Enterocyte (Bottom Villus)
2122,Enterocyte (Bottom Villus)
2123,Goblet
2124,Paneth
2125,Goblet
2126,Removed
2127,B (Plasma)
2128,Macrophage + DC
2129,Stem + TA
2130,Enterocyte (Bottom Villus)
2131,Enterocyte (Bottom Villus)
2132,Stem + TA
2133,Smooth Muscle
2134,B (Plasma)
2135,Smooth Muscle
2136,T (CD4+)
2137,Removed
2138,T (CD4+)
2139,T (CD4+)
2140,Stem + TA
2141,Stem + TA
2142,Stem + TA
2143,Telocyte
2144,Paneth
2145,Smooth Muscle
2146,Enterocyte (Mid Villus)
2147,Smooth Muscle
2148,B (Plasma)
2149,Endothelial
2150,Enterocyte (Bottom Villus)
2151,Stem + TA
2152,Paneth
2153,Smooth Muscle
2154,Stem + TA
2155,T (CD8+)
2156,Goblet
2157,Paneth
2158,Endothelial
2159,Enterocyte (Bottom Villus)
2160,T (CD8+)
2161,Macrophage + DC
2162,Macrophage + DC
2163,Enterocyte (Bottom Villus)
2164,Smooth Muscle
2165,Stem + TA
2166,Endothelial
2167,Removed
2168,Removed
2169,Paneth
2170,Enterocyte (Bottom Villus)
2171,Stem + TA
2172,Goblet
2173,Removed
2174,Stromal
2175,Endothelial
2176,Macrophage + DC
2177,Stromal
2178,Smooth Muscle
2179,Enterocyte (Mid Villus)
2180,B (Plasma)
2181,Enterocyte (Mid Villus)
2182,Stem + TA
2183,B (Plasma)
2184,Removed
2185,Macrophage + DC
2186,Enterocyte (Bottom Villus)
2187,Paneth
2188,Goblet
2189,Smooth Muscle
2190,Telocyte
2191,Tuft
2192,B (Plasma)
2193,Enterocyte (Bottom Villus)
2194,Smooth Muscle
2195,Smooth Muscle
2196,T (CD4+)
2197,T (CD4+)
2198,Enterocyte (Mid Villus)
2199,Paneth
2200,Goblet
2201,Stromal
2202,Enterocyte (Mid Villus)
2203,Smooth Muscle
2204,Goblet
2205,Macrophage + DC
2206,Paneth
2207,Smooth Muscle
2208,Enterocyte (Bottom Villus)
2209,Enterocyte (Bottom Villus)
2210,B (Plasma)
2211,Enterocyte (Bottom Villus)
2212,Stem + TA
2213,Paneth
2214,Removed
2215,Smooth Muscle
2216,Endothelial
2217,Macrophage + DC
2218,Stem + TA
2219,Macrophage + DC
2220,Stromal
2221,Enterocyte (Mid Villus)
2222,Stem + TA
2223,Stem + TA
2224,B (Plasma)
2225,Smooth Muscle
2226,Enterocyte (Bottom Villus)
2227,B (Plasma)
2228,Endothelial
2229,Stromal
2230,Enterocyte (Bottom Villus)
2231,Stem + TA
2232,Removed
2233,Enterocyte (Mid Villus)
2234,T (CD8+)
2235,Smooth Muscle
2236,T (CD4+)
2237,Removed
2238,Stromal
2239,Stromal
2240,Enterocyte (Bottom Villus)
2241,B (Plasma)
2242,Smooth Muscle
2243,Paneth
2244,B (Plasma)
2245,B (Plasma)
2246,T (CD4+)
2247,Enterocyte (Mid Villus)
2248,Endothelial
2249,Stem + TA
2250,Paneth
2251,Removed
2252,Enterocyte (Mid Villus)
2253,Goblet
2254,Removed
2255,Endothelial
2256,T (CD4+)
2257,B (Plasma)
2258,Enterocyte (Bottom Villus)
2259,Stem + TA
2260,Enterocyte (Mid Villus)
2261,Enterocyte (Bottom Villus)
2262,B (Plasma)
2263,B (Plasma)
2264,Paneth
2265,Enterocyte (Bottom Villus)
2266,Smooth Muscle
2267,Goblet
2268,Enterocyte (Bottom Villus)
2269,Stem + TA
2270,Smooth Muscle
2271,Removed
2272,Stem + TA
2273,Removed
2274,Enterocyte (Mid Villus)
2275,Stem + TA
2276,Macrophage + DC
2277,T (CD4+)
2278,Endothelial
2279,Goblet
2280,Enterocyte (Bottom Villus)
2281,Smooth Muscle
2282,Enterocyte (Bottom Villus)
2283,Endothelial
2284,Macrophage + DC
2285,Enterocyte (Bottom Villus)
2286,Paneth
2287,Removed
2288,Goblet
2289,Macrophage + DC
2290,Enterocyte (Mid Villus)
2291,Smooth Muscle
2292,Enterocyte (Bottom Villus)
2293,T (CD8+)
2294,Enterocyte (Bottom Villus)
2295,Paneth
2296,Stem + TA
2297,Stromal
2298,Paneth
2299,Enterocyte (Bottom Villus)
2300,Stem + TA
2301,Enterocyte (Mid Villus)
2302,Macrophage + DC
2303,T (CD4+)
2304,B (Plasma)
2305,B (Plasma)
2306,Removed
2307,Smooth Muscle
2308,B (Plasma)
2309,T (CD8+)
2310,Smooth Muscle
2311,T (CD4+)
2312,Goblet
2313,Stromal
2314,Smooth Muscle
2315,Stem + TA
2316,Stromal
2317,Stromal
2318,Endothelial
2319,Removed
2320,Endothelial
2321,B (Plasma)
2322,Enterocyte (Mid Villus)
2323,T (CD4+)
2324,B (Plasma)
2325,Enterocyte (Mid Villus)
2326,Enterocyte (Mid Villus)
2327,Smooth Muscle
2328,Stem + TA
2329,Enterocyte (Mid Villus)
2330,Telocyte
2331,Enterocyte (Mid Villus)
2332,B (Plasma)
2333,Stromal
2334,Stem + TA
2335,Paneth
2336,Enterocyte (Mid Villus)
2337,Smooth Muscle
2338,Goblet
2339,Enterocyte (Top Villus)
2340,Enterocyte (Mid Villus)
2341,Goblet
2342,Smooth Muscle
2343,Removed
2344,Enterocyte (Bottom Villus)
2345,Endothelial
2346,Enterocyte (Mid Villus)
2347,T (CD4+)
2348,Pericyte
2349,B (Plasma)
2350,B (Plasma)
2351,ICC
2352,B (Plasma)
2353,B (Plasma)
2354,Smooth Muscle
2355,Stromal
2356,Telocyte
2357,B (Plasma)
2358,Enterocyte (Mid Villus)
2359,Removed
2360,Macrophage + DC
2361,Stromal
2362,Enterocyte (Mid Villus)
2363,Stromal
2364,Enterocyte (Top Villus)
2365,B (Plasma)
2366,Enterocyte (Top Villus)
2367,Stromal
2368,Macrophage + DC
2369,Stem + TA
2370,Stromal
2371,Enterocyte (Bottom Villus)
2372,Endothelial
2373,Goblet
2374,Stem + TA
2375,Endothelial
2376,B (Plasma)
2377,Stem + TA
2378,Stromal
2379,T (CD8+)
2380,Smooth Muscle
2381,Paneth
2382,B (Plasma)
2383,Enterocyte (Mid Villus)
2384,Goblet
2385,B (Plasma)
2386,Stromal
2387,Macrophage + DC
2388,B (Plasma)
2389,B (Plasma)
2390,Enterocyte (Top Villus)
2391,Macrophage + DC
2392,Enterocyte (Mid Villus)
2393,Stromal
2394,B (Plasma)
2395,T (CD4+)
2396,Pericyte
2397,Enterocyte (Top Villus)
2398,T (CD4+)
2399,Removed
2400,B (Plasma)
2401,Enterocyte (Mid Villus)
2402,Smooth Muscle
2403,Enterocyte (Top Villus)
2404,Smooth Muscle
2405,Stem + TA
2406,Removed
2407,Goblet
2408,T (CD4+)
2409,Removed
2410,Enterocyte (Bottom Villus)
2411,B (Plasma)
2412,Enterocyte (Mid Villus)
2413,B (Plasma)
2414,Enterocyte (Mid Villus)
2415,Stem + TA
2416,Macrophage + DC
2417,Enterocyte (Mid Villus)
2418,Stem + TA
2419,Stromal
2420,Paneth
2421,Macrophage + DC
2422,Stem + TA
2423,Stem + TA
2424,Endothelial
2425,B (Plasma)
2426,Enterocyte (Bottom Villus)
2427,Paneth
2428,B (Plasma)
2429,B (Plasma)
2430,Enterocyte (Bottom Villus)
2431,Stem + TA
2432,Removed
2433,Stem + TA
2434,T (CD4+)
2435,Stem + TA
2436,Enterocyte (Top Villus)
2437,Stromal
2438,Enterocyte (Top Villus)
2439,Smooth Muscle
2440,Enterocyte (Mid Villus)
2441,B (Plasma)
2442,Smooth Muscle
2443,Removed
2444,Stromal
2445,Enterocyte (Mid Villus)
2446,Telocyte
2447,Enterocyte (Mid Villus)
2448,B (Plasma)
2449,Enterocyte (Bottom Villus)
2450,Macrophage + DC
2451,B (Plasma)
2452,B (Plasma)
2453,Smooth Muscle
2454,Enterocyte (Top Villus)
2455,Enterocyte (Bottom Villus)
2456,Enterocyte (Mid Villus)
2457,Enterocyte (Top Villus)
2458,Enterocyte (Bottom Villus)
2459,Goblet
2460,Endothelial
2461,Macrophage + DC
2462,Paneth
2463,Goblet
2464,Smooth Muscle
2465,Stromal
2466,Macrophage + DC
2467,Removed
2468,Macrophage + DC
2469,T (CD4+)
2470,Stromal
2471,Stromal
2472,Stromal
2473,Stem + TA
2474,Smooth Muscle
2475,Macrophage + DC
2476,"B (Follicular, Circulating)"
2477,Goblet
2478,Smooth Muscle
2479,Smooth Muscle
2480,T (CD4+)
2481,B (Plasma)
2482,T (CD4+)
2483,Stromal
2484,B (Plasma)
2485,Macrophage + DC
2486,Stem + TA
2487,Smooth Muscle
2488,Stem + TA
2489,Goblet
2490,Enterocyte (Mid Villus)
2491,Enterocyte (Mid Villus)
2492,Stem + TA
2493,B (Plasma)
2494,B (Plasma)
2495,Enterocyte (Bottom Villus)
2496,Stromal
2497,Enterocyte (Mid Villus)
2498,T (CD4+)
2499,B (Plasma)
2500,Macrophage + DC
2501,Stem + TA
2502,Tuft
2503,Enterocyte (Mid Villus)
2504,B (Plasma)
2505,Stem + TA
2506,Macrophage + DC
2507,Paneth
2508,B (Plasma)
2509,Enterocyte (Mid Villus)
2510,Enterocyte (Top Villus)
2511,Enterocyte (Top Villus)
2512,Paneth
2513,Stem + TA
2514,B (Plasma)
2515,T (CD4+)
2516,Paneth
2517,Enterocyte (Mid Villus)
2518,Enterocyte (Bottom Villus)
2519,Stem + TA
2520,Paneth
2521,B (Plasma)
2522,Stromal
2523,T (CD4+)
2524,Removed
2525,Macrophage + DC
2526,Smooth Muscle
2527,Goblet
2528,Stem + TA
2529,T (CD8+)
2530,Enterocyte (Mid Villus)
2531,Enterocyte (Top Villus)
2532,B (Plasma)
2533,Removed
2534,Enterocyte (Bottom Villus)
2535,Stem + TA
2536,Smooth Muscle
2537,Smooth Muscle
2538,Goblet
2539,T (CD4+)
2540,Endothelial
2541,Macrophage + DC
2542,Enterocyte (Bottom Villus)
2543,Stromal
2544,Enterocyte (Bottom Villus)
2545,ICC
2546,Stem + TA
2547,B (Plasma)
2548,T (CD4+)
2549,Removed
2550,Paneth
2551,Goblet
2552,B (Plasma)
2553,Telocyte
2554,B (Plasma)
2555,Enterocyte (Mid Villus)
2556,Enterocyte (Top Villus)
2557,Enterocyte (Bottom Villus)
2558,Smooth Muscle
2559,Stromal
2560,B (Plasma)
2561,Endothelial
2562,Macrophage + DC
2563,Smooth Muscle
2564,Stromal
2565,Removed
2566,Enterocyte (Mid Villus)
2567,Stem + TA
2568,Enterocyte (Bottom Villus)
2569,Enterocyte (Bottom Villus)
2570,Stromal
2571,Stromal
2572,B (Plasma)
2573,Enterocyte (Top Villus)
2574,Stem + TA
2575,ICC
2576,Stem + TA
2577,Enterocyte (Top Villus)
2578,Stem + TA
2579,Enterocyte (Bottom Villus)
2580,Paneth
2581,Stem + TA
